PERIODE,NCLI,NDOS,ND,MATA_UANG,JUMLAH_TAGIHAN,BELUM_BAYAR,STATUS_PEMBAYARAN,LOKASI_PEMBAYARAN,CICILAN,TANGGAL,JAM,INSERT_DATE_DMA
202104,174,6,131165100284,IDR,1149500,0,Lunas,FPC FINNET KOPEGTEL,Bukan cicilan,09-Apr-2021,14:11:30,2022-02-03 09:45:57
202202,189,5,131167103190,IDR,231000,0,Lunas,FINNET SUBCA TOKOPEDIA,Bukan cicilan,12-Feb-2022,13:49:04,2022-03-02 09:52:10
202111,199,4,131167101443,IDR,412500,0,Lunas,FINNET BANK BANK MANDIRI,Bukan cicilan,07-Nov-2021,19:29:31,2022-02-03 09:45:57
202109,241,6,131167107177,IDR,161150,0,Lunas,FINNET BANK ANJAK CITIBANK,Bukan cicilan,10-Sep-2021,17:51:29,2022-02-03 09:45:57
202107,241,6,131167107177,IDR,161150,0,Lunas,FINNET BANK ANJAK CITIBANK,Bukan cicilan,12-Jul-2021,21:56:09,2022-02-03 09:45:57
202105,403,5,131161116393,IDR,66000,0,Lunas,FINNET BANK PT POS INDONESIA,Bukan cicilan,10-May-2021,09:16:59,2022-02-03 09:45:57
202104,447,3,131177104343,IDR,396000,0,Lunas,FINNET SUBCA TOKOPEDIA,Bukan cicilan,05-Apr-2021,06:57:16,2022-02-03 09:45:57
202110,456,2,131169100187,IDR,478500,0,Lunas,FPC FINNET KOPEGTEL,Bukan cicilan,12-Oct-2021,09:21:13,2022-02-03 09:45:57
202202,508,4,131167107275,IDR,22000,0,Lunas,FINNET BANK BANK NIAGA,Bukan cicilan,09-Feb-2022,08:39:46,2022-03-02 09:52:10
202112,566,131,131165112725,IDR,459800,0,Lunas,Loket Pelanggan Swasta UNER 3,Bukan cicilan,22-Dec-2021,21:14:51,2022-02-03 09:45:57
202112,566,128,131165111161,IDR,165000,0,Lunas,Loket Pelanggan Swasta UNER 3,Bukan cicilan,22-Dec-2021,21:14:51,2022-02-03 09:45:57
202112,570,3,131165160944,IDR,88742,0,Lunas,DEE3,Bukan cicilan,31-Dec-2021,17:50:40,2022-02-03 09:45:57
202108,597,22,131168142246,IDR,484000,0,Lunas,FINNET SUBCA ALFAMART,Bukan cicilan,04-Aug-2021,15:31:55,2022-02-03 09:45:57
202110,597,22,131168142246,IDR,484000,0,Lunas,FINNET WAY4 FINNET,Bukan cicilan,06-Oct-2021,11:08:19,2022-02-03 09:45:57
202105,619,22,131172137594,IDR,275000,0,Lunas,FINNET SUBCA INDOMART,Bukan cicilan,15-May-2021,15:12:58,2022-02-03 09:45:57
202112,621,4,131165107535,IDR,338798,0,Lunas,Loket Pelanggan Swasta UNER 3,Bukan cicilan,22-Dec-2021,21:14:51,2022-02-03 09:45:57
202201,623,73,131159114070,IDR,451000,0,Lunas,FINNET BANK BANK CENTRAL ASIA,Bukan cicilan,21-Jan-2022,07:41:22,2022-02-03 09:45:57
202109,623,71,131165113011,IDR,451000,0,Lunas,FPC FINNET KOPEGTEL,Bukan cicilan,22-Sep-2021,10:25:29,2022-02-03 09:45:57
202109,626,30,131159120570,IDR,264000,0,Lunas,FINNET BANK PT POS INDONESIA,Bukan cicilan,07-Sep-2021,08:03:15,2022-02-03 09:45:57
202111,643,10,131165112537,IDR,517000,0,Lunas,Loket Pelanggan Swasta UNER 3,Bukan cicilan,22-Nov-2021,19:39:54,2022-02-03 09:45:57
202112,663,3,131172117948,IDR,451000,0,Lunas,FINNET SUBCA VALUE STREAM INTERNATIONAL,Bukan cicilan,20-Dec-2021,08:56:28,2022-02-03 09:45:57
202106,665,30,131171100342,IDR,522500,0,Lunas,Loket Jastel TNI UNER 3,Bukan cicilan,14-Jun-2021,15:17:51,2022-02-03 09:45:57
202104,665,32,131170120969,IDR,522500,0,Lunas,Loket Jastel TNI UNER 3,Bukan cicilan,13-Apr-2021,11:25:48,2022-02-03 09:45:57
202203,666,275,131172144756,IDR,264000,0,Lunas,Loket Pelanggan Swasta UNER 3,Bukan cicilan,21-Mar-2022,19:47:26,2022-04-08 14:13:23
202112,666,183,131184120418,IDR,401500,0,Lunas,FINNET SUBCA TOKOPEDIA,Bukan cicilan,15-Dec-2021,20:34:51,2022-02-03 09:45:57
202107,666,91,131184100480,IDR,261800,0,Lunas,Loket Pelanggan Swasta UNER 3,Bukan cicilan,20-Jul-2021,16:39:19,2022-02-03 09:45:57
202203,678,5422,131184183622,IDR,346500,0,Lunas,Loket Pelanggan Swasta UNER 3,Bukan cicilan,20-Mar-2022,21:35:57,2022-04-08 14:13:23
202203,678,53,131184140186,IDR,764500,0,Lunas,Loket Pelanggan Swasta UNER 3,Bukan cicilan,21-Mar-2022,19:47:27,2022-04-08 14:13:23
202203,678,5459,131427113709,IDR,253000,0,Lunas,Loket Pelanggan Swasta UNER 3,Bukan cicilan,20-Mar-2022,20:14:10,2022-04-08 14:13:23
